table,j,K,year,alt_km,F_years,corrected
8.4,4,1.0,2019,1000,23.119,
8.4,4,1.0,2019,1200,24.074,
8.4,4,1.0,2019,1400,23.532,
8.4,4,1.0,2020,200,32.976,
8.4,4,1.0,2020,400,27.766,
8.4,4,1.0,2020,600,22.09,
8.4,4,1.0,2020,800,23.602,
8.4,4,1.0,2020,1000,24.478,
8.4,4,1.0,2020,1200,25.504,
8.4,4,1.0,2020,1400,24.912,
8.4,4,1.0,2021,200,34.967,
8.4,4,1.0,2021,400,29.497,
8.4,4,1.0,2021,600,23.412,
8.4,4,1.0,2021,800,24.945,
8.4,4,1.0,2021,1000,25.857,
8.4,4,1.0,2021,1200,26.955,
8.4,4,1.0,2021,1400,26.311,
8.4,4,1.0,2022,200,36.529,
8.4,4,1.0,2022,400,30.904,
8.4,4,1.0,2022,600,24.68,
8.4,4,1.0,2022,800,26.29,
8.4,4,1.0,2022,1000,27.251,
8.4,4,1.0,2022,1200,28.429,
8.4,4,1.0,2022,1400,27.727,
8.4,4,1.0,2023,200,38.218,
8.4,4,1.0,2023,400,32.269,
8.4,4,1.0,2023,600,25.789,
8.4,4,1.0,2023,800,27.571,
8.4,4,1.0,2023,1000,28.629,
8.4,4,1.0,2023,1200,29.922,
8.4,4,1.0,2023,1400,29.152,
8.4,4,1.0,2024,200,39.585,
8.4,4,1.0,2024,400,33.436,
8.4,4,1.0,2024,600,26.881,
8.4,4,1.0,2024,800,28.86,
8.4,4,1.0,2024,1000,30.021,
8.4,4,1.0,2024,1200,31.437,
8.4,4,1.0,2024,1400,30.595,
8.4,4,1.0,2025,200,40.819,
8.4,4,1.0,2025,400,34.512,
8.4,4,1.0,2025,600,27.957,
8.4,4,1.0,2025,800,30.157,
8.4,4,1.0,2025,1000,31.429,
8.4,4,1.0,2025,1200,32.975,
8.4,4,1.0,2025,1400,32.055,
8.5,5,1.0,2000,200,1.0,
8.5,5,1.0,2000,400,1.0,
8.5,5,1.0,2000,600,1.0,
8.5,5,1.0,2000,800,1.0,
8.5,5,1.0,2000,1000,1.0,
8.5,5,1.0,2000,1200,1.0,
8.5,5,1.0,2000,1400,1.0,
8.5,5,1.0,2001,200,2.409,
8.5,5,1.0,2001,400,2.132,
8.5,5,1.0,2001,600,1.894,
8.5,5,1.0,2001,800,1.961,
8.5,5,1.0,2001,1000,1.995,
8.5,5,1.0,2001,1200,2.02,
8.5,5,1.0,2001,1400,2.014,
8.5,5,1.0,2002,200,3.584,
8.5,5,1.0,2002,400,3.13,
8.5,5,1.0,2002,600,2.786,
8.5,5,1.0,2002,800,2.935,
8.5,5,1.0,2002,1000,3.008,
8.5,5,1.0,2002,1200,3.062,
8.5,5,1.0,2002,1400,3.046,
8.5,5,1.0,2003,200,4.651,
8.5,5,1.0,2003,400,4.064,
8.5,5,1.0,2003,600,3.678,
8.5,5,1.0,2003,800,3.923,
8.5,5,1.0,2003,1000,4.039,
8.5,5,1.0,2003,1200,4.125,
8.5,5,1.0,2003,1400,4.097,
8.5,5,1.0,2004,200,5.79,
8.5,5,1.0,2004,400,5.072,
8.5,5,1.0,2004,600,4.612,
8.5,5,1.0,2004,800,4.938,
8.5,5,1.0,2004,1000,5.092,
8.5,5,1.0,2004,1200,5.21,
8.5,5,1.0,2004,1400,5.167,
8.5,5,1.0,2005,200,6.974,
8.5,5,1.0,2005,400,6.137,
8.5,5,1.0,2005,600,5.586,
8.5,5,1.0,2005,800,5.98,
8.5,5,1.0,2005,1000,6.167,
8.5,5,1.0,2005,1200,6.316,
8.5,5,1.0,2005,1400,6.258,
8.5,5,1.0,2006,200,8.192,
8.5,5,1.0,2006,400,7.249,
8.5,5,1.0,2006,600,6.6,
8.5,5,1.0,2006,800,7.05,
8.5,5,1.0,2006,1000,7.265,
8.5,5,1.0,2006,1200,7.443,
8.5,5,1.0,2006,1400,7.369,
8.5,5,1.0,2007,200,9.831,
8.5,5,1.0,2007,400,8.631,
8.5,5,1.0,2007,600,7.669,
8.5,5,1.0,2007,800,8.148,
8.5,5,1.0,2007,1000,8.385,
8.5,5,1.0,2007,1200,8.591,
8.5,5,1.0,2007,1400,8.501,
8.5,5,1.0,2008,200,11.856,
8.5,5,1.0,2008,400,10.264,
8.5,5,1.0,2008,600,8.792,
8.5,5,1.0,2008,800,9.276,
8.5,5,1.0,2008,1000,9.53,
8.5,5,1.0,2008,1200,9.761,
8.5,5,1.0,2008,1400,9.655,
8.5,5,1.0,2009,200,14.241,
8.5,5,1.0,2009,400,12.135,
8.5,5,1.0,2009,600,9.969,
8.5,5,1.0,2009,800,10.432,
8.5,5,1.0,2009,1000,10.698,
8.5,5,1.0,2009,1200,10.953,
8.5,5,1.0,2009,1400,10.83,
8.5,5,1.0,2010,200,16.166,
8.5,5,1.0,2010,400,13.778,
8.5,5,1.0,2010,600,11.177,
8.5,5,1.0,2010,800,11.614,
8.5,5,1.0,2010,1000,11.887,
8.5,5,1.0,2010,1200,12.165,
8.5,5,1.0,2010,1400,12.025,
8.5,5,1.0,2011,200,17.657,
8.5,5,1.0,2011,400,15.117,
8.5,5,1.0,2011,600,12.344,
8.5,5,1.0,2011,800,12.802,
8.5,5,1.0,2011,1000,13.092,
8.5,5,1.0,2011,1200,13.399,
8.5,5,1.0,2011,1400,13.238,
8.5,5,1.0,2012,200,19.252,
8.5,5,1.0,2012,400,16.399,
8.5,5,1.0,2012,600,13.378,
8.5,5,1.0,2012,800,13.941,
8.5,5,1.0,2012,1000,14.288,
8.5,5,1.0,2012,1200,14.653,
8.5,5,1.0,2012,1400,14.462,
8.5,5,1.0,2013,200,20.522,
8.5,5,1.0,2013,400,17.493,
8.5,5,1.0,2013,600,14.403,
8.5,5,1.0,2013,800,15.091,
8.5,5,1.0,2013,1000,15.501,
8.5,5,1.0,2013,1200,15.929,
8.5,5,1.0,2013,1400,15.705,
8.5,5,1.0,2014,200,21.644,
8.5,5,1.0,2014,400,18.496,
8.5,5,1.0,2014,600,15.421,
8.5,5,1.0,2014,800,16.252,
8.5,5,1.0,2014,1000,16.73,
8.5,5,1.0,2014,1200,17.227,
8.5,5,1.0,2014,1400,16.966,
8.5,5,1.0,2015,200,22.819,
8.5,5,1.0,2015,400,19.563,
8.5,5,1.0,2015,600,16.481,
8.5,5,1.0,2015,800,17.441,
8.5,5,1.0,2015,1000,17.981,
8.5,5,1.0,2015,1200,18.546,
8.5,5,1.0,2015,1400,18.246,
8.5,5,1.0,2016,200,24.026,
8.5,5,1.0,2016,400,20.678,
8.5,5,1.0,2016,600,17.579,
8.5,5,1.0,2016,800,18.656,
8.5,5,1.0,2016,1000,19.255,
8.5,5,1.0,2016,1200,19.886,
8.5,5,1.0,2016,1400,19.546,
8.5,5,1.0,2017,200,25.258,
8.5,5,1.0,2017,400,21.837,
8.5,5,1.0,2017,600,18.717,
8.5,5,1.0,2017,800,19.898,
8.5,5,1.0,2017,1000,20.549,
8.5,5,1.0,2017,1200,21.247,
8.5,5,1.0,2017,1400,20.865,
8.5,5,1.0,2018,200,26.911,
8.5,5,1.0,2018,400,23.264,
8.5,5,1.0,2018,600,19.91,
8.5,5,1.0,2018,800,21.169,
8.5,5,1.0,2018,1000,21.868,
8.5,5,1.0,2018,1200,22.63,
8.5,5,1.0,2018,1400,22.206,
8.5,5,1.0,2019,200,28.951,
8.5,5,1.0,2019,400,24.942,
8.5,5,1.0,2019,600,21.158,
8.5,5,1.0,2019,800,22.47,
8.5,5,1.0,2019,1000,23.21,
8.5,5,1.0,2019,1200,24.034,
8.5,5,1.0,2019,1400,23.567,
8.5,5,1.0,2020,200,31.35,
8.5,5,1.0,2020,400,26.858,
8.5,5,1.0,2020,600,22.459,
8.5,5,1.0,2020,800,23.798,
8.5,5,1.0,2020,1000,24.575,
8.5,5,1.0,2020,1200,25.46,
8.5,5,1.0,2020,1400,24.951,
8.5,5,1.0,2021,200,33.282,
8.5,5,1.0,2021,400,28.543,
8.5,5,1.0,2021,600,23.79,
8.5,5,1.0,2021,800,25.153,
8.5,5,1.0,2021,1000,25.961,
8.5,5,1.0,2021,1200,26.907,
8.5,5,1.0,2021,1400,26.353,
8.5,5,1.0,2022,200,34.785,
8.5,5,1.0,2022,400,29.922,
8.5,5,1.0,2022,600,25.077,
8.5,5,1.0,2022,800,26.512,
8.5,5,1.0,2022,1000,27.363,
8.5,5,1.0,2022,1200,28.376,
8.5,5,1.0,2022,1400,27.773,
8.5,5,1.0,2023,200,36.422,
8.5,5,1.0,2023,400,31.259,
8.5,5,1.0,2023,600,26.222,
8.5,5,1.0,2023,800,27.813,
8.5,5,1.0,2023,1000,28.751,
8.5,5,1.0,2023,1200,29.864,
8.5,5,1.0,2023,1400,29.203,
8.5,5,1.0,2024,200,37.718,
8.5,5,1.0,2024,400,32.396,
8.5,5,1.0,2024,600,27.355,
8.5,5,1.0,2024,800,29.125,
8.5,5,1.0,2024,1000,30.155,
8.5,5,1.0,2024,1200,31.374,
8.5,5,1.0,2024,1400,30.651,
8.5,5,1.0,2025,200,38.856,
8.5,5,1.0,2025,400,33.434,
8.5,5,1.0,2025,600,28.479,
8.5,5,1.0,2025,800,30.446,
8.5,5,1.0,2025,1000,31.575,
8.5,5,1.0,2025,1200,32.906,
8.5,5,1.0,2025,1400,32.116,
8.6,6,1.0,2000,200,1.0,
8.6,6,1.0,2000,400,1.0,
8.6,6,1.0,2000,600,1.0,
8.6,6,1.0,2000,800,1.0,
8.6,6,1.0,2000,1000,1.0,
8.6,6,1.0,2000,1200,1.0,
8.6,6,1.0,2000,1400,1.0,
8.6,6,1.0,2001,200,2.34,
8.6,6,1.0,2001,400,2.105,
8.6,6,1.0,2001,600,1.904,
8.6,6,1.0,2001,800,1.963,
8.6,6,1.0,2001,1000,1.996,
8.6,6,1.0,2001,1200,2.019,
8.6,6,1.0,2001,1400,2.014,
8.6,6,1.0,2002,200,3.439,
8.6,6,1.0,2002,400,3.076,
8.6,6,1.0,2002,600,2.81,
8.6,6,1.0,2002,800,2.941,
8.6,6,1.0,2002,1000,3.01,
8.6,6,1.0,2002,1200,3.06,
8.6,6,1.0,2002,1400,3.046,
8.6,6,1.0,2003,200,4.426,
8.6,6,1.0,2003,400,3.984,
8.6,6,1.0,2003,600,3.719,
8.6,6,1.0,2003,800,3.933,
8.6,6,1.0,2003,1000,4.042,
8.6,6,1.0,2003,1200,4.123,
8.6,6,1.0,2003,1400,4.097,
8.6,6,1.0,2004,200,5.494,
8.6,6,1.0,2004,400,4.969,
8.6,6,1.0,2004,600,4.668,
8.6,6,1.0,2004,800,4.952,
8.6,6,1.0,2004,1000,5.096,
8.6,6,1.0,2004,1200,5.206,
8.6,6,1.0,2004,1400,5.168,
8.6,6,1.0,2005,200,6.627,
8.6,6,1.0,2005,400,6.017,
8.6,6,1.0,2005,600,5.657,
8.6,6,1.0,2005,800,5.999,
8.6,6,1.0,2005,1000,6.172,
8.6,6,1.0,2005,1200,6.31,
8.6,6,1.0,2005,1400,6.259,
8.6,6,1.0,2006,200,7.816,
8.6,6,1.0,2006,400,7.122,
8.6,6,1.0,2006,600,6.685,
8.6,6,1.0,2006,800,7.073,
8.6,6,1.0,2006,1000,7.271,
8.6,6,1.0,2006,1200,7.436,
8.6,6,1.0,2006,1400,7.37,
8.6,6,1.0,2007,200,9.405,
8.6,6,1.0,2007,400,8.48,
8.6,6,1.0,2007,600,7.765,
8.6,6,1.0,2007,800,8.176,
8.6,6,1.0,2007,1000,8.393,
8.6,6,1.0,2007,1200,8.582,
8.6,6,1.0,2007,1400,8.503,
8.6,6,1.0,2008,200,11.361,
8.6,6,1.0,2008,400,10.073,
8.6,6,1.0,2008,600,8.897,
8.6,6,1.0,2008,800,9.307,
8.6,6,1.0,2008,1000,9.539,
8.6,6,1.0,2008,1200,9.75,
8.6,6,1.0,2008,1400,9.657,
8.6,6,1.0,2009,200,13.658,
8.6,6,1.0,2009,400,11.889,
8.6,6,1.0,2009,600,10.08,
8.6,6,1.0,2009,800,10.468,
8.6,6,1.0,2009,1000,10.708,
8.6,6,1.0,2009,1200,10.939,
8.6,6,1.0,2009,1400,10.833,
8.6,6,1.0,2010,200,15.538,
8.6,6,1.0,2010,400,13.5,
8.6,6,1.0,2010,600,11.293,
8.6,6,1.0,2010,800,11.654,
8.6,6,1.0,2010,1000,11.899,
8.6,6,1.0,2010,1200,12.149,
8.6,6,1.0,2010,1400,12.029,
8.6,6,1.0,2011,200,17.012,
8.6,6,1.0,2011,400,14.831,
8.6,6,1.0,2011,600,12.467,
8.6,6,1.0,2011,800,12.847,
8.6,6,1.0,2011,1000,13.107,
8.6,6,1.0,2011,1200,13.381,
8.6,6,1.0,2011,1400,13.242,
8.6,6,1.0,2012,200,18.526,
8.6,6,1.0,2012,400,16.085,
8.6,6,1.0,2012,600,13.519,
8.6,6,1.0,2012,800,13.993,
8.6,6,1.0,2012,1000,14.305,
8.6,6,1.0,2012,1200,14.631,
8.6,6,1.0,2012,1400,14.468,
8.6,6,1.0,2013,200,19.713,
8.6,6,1.0,2013,400,17.152,
8.6,6,1.0,2013,600,14.566,
8.6,6,1.0,2013,800,15.151,
8.6,6,1.0,2013,1000,15.52,
8.6,6,1.0,2013,1200,15.903,
8.6,6,1.0,2013,1400,15.712,
8.6,6,1.0,2014,200,20.749,
8.6,6,1.0,2014,400,18.133,
8.6,6,1.0,2014,600,15.61,
8.6,6,1.0,2014,800,16.321,
8.6,6,1.0,2014,1000,16.753,
8.6,6,1.0,2014,1200,17.196,
8.6,6,1.0,2014,1400,16.973,
8.6,6,1.0,2015,200,21.85,
8.6,6,1.0,2015,400,19.18,
8.6,6,1.0,2015,600,16.693,
8.6,6,1.0,2015,800,17.519,
8.6,6,1.0,2015,1000,18.007,
8.6,6,1.0,2015,1200,18.511,
8.6,6,1.0,2015,1400,18.255,
8.6,6,1.0,2016,200,23.007,
8.6,6,1.0,2016,400,20.285,
8.6,6,1.0,2016,600,17.816,
8.6,6,1.0,2016,800,18.744,
8.6,6,1.0,2016,1000,19.284,
8.6,6,1.0,2016,1200,19.846,
8.6,6,1.0,2016,1400,19.556,
8.6,6,1.0,2017,200,24.213,
8.6,6,1.0,2017,400,21.444,
8.6,6,1.0,2017,600,18.976,
8.6,6,1.0,2017,800,19.995,
8.6,6,1.0,2017,1000,20.582,
8.6,6,1.0,2017,1200,21.202,
8.6,6,1.0,2017,1400,20.877,
8.6,6,1.0,2018,200,25.819,
8.6,6,1.0,2018,400,22.856,
8.6,6,1.0,2018,600,20.189,
8.6,6,1.0,2018,800,21.276,
8.6,6,1.0,2018,1000,21.904,
8.6,6,1.0,2018,1200,22.58,
8.6,6,1.0,2018,1400,22.22,
8.6,6,1.0,2019,200,27.792,
8.6,6,1.0,2019,400,24.502,
8.6,6,1.0,2019,600,21.454,
8.6,6,1.0,2019,800,22.585,
8.6,6,1.0,2019,1000,23.25,
8.6,6,1.0,2019,1200,23.979,
8.6,6,1.0,2019,1400,23.583,
8.6,6,1.0,2020,200,30.106,
8.6,6,1.0,2020,400,26.371,
8.6,6,1.0,2020,600,22.771,
8.6,6,1.0,2020,800,23.923,
8.6,6,1.0,2020,1000,24.619,
8.6,6,1.0,2020,1200,25.4,
8.6,6,1.0,2020,1400,24.968,
8.6,6,1.0,2021,200,31.998,
8.6,6,1.0,2021,400,28.032,
8.6,6,1.0,2021,600,24.116,
8.6,6,1.0,2021,800,25.287,
8.6,6,1.0,2021,1000,26.009,
8.6,6,1.0,2021,1200,26.841,
8.6,6,1.0,2021,1400,26.373,
8.6,6,1.0,2022,200,33.484,
8.6,6,1.0,2022,400,29.412,
8.6,6,1.0,2022,600,25.419,
8.6,6,1.0,2022,800,26.656,
8.6,6,1.0,2022,1000,27.415,
8.6,6,1.0,2022,1200,28.304,
8.6,6,1.0,2022,1400,27.795,
8.6,6,1.0,2023,200,35.041,
8.6,6,1.0,2023,400,30.726,
8.6,6,1.0,2023,600,26.592,
8.6,6,1.0,2023,800,27.97,
8.6,6,1.0,2023,1000,28.808,
8.6,6,1.0,2023,1200,29.785,
8.6,6,1.0,2023,1400,29.228,
8.6,6,1.0,2024,200,36.252,
8.6,6,1.0,2024,400,31.841,
8.6,6,1.0,2024,600,27.757,
8.6,6,1.0,2024,800,29.295,
8.6,6,1.0,2024,1000,30.217,
8.6,6,1.0,2024,1200,31.288,
8.6,6,1.0,2024,1400,30.678,
8.6,6,1.0,2025,200,37.302,
8.6,6,1.0,2025,400,32.862,
8.6,6,1.0,2025,600,28.916,
8.6,6,1.0,2025,800,30.632,
8.6,6,1.0,2025,1000,31.643,
8.6,6,1.0,2025,1200,32.812,
8.6,6,1.0,2025,1400,32.145,
8.7,7,1.0,2000,200,1.0,
8.7,7,1.0,2000,400,1.0,
8.7,7,1.0,2000,600,1.0,
8.7,7,1.0,2000,800,1.0,
8.7,7,1.0,2000,1000,1.0,
8.7,7,1.0,2000,1200,1.0,
8.7,7,1.0,2000,1400,1.0,
8.7,7,1.0,2001,200,2.197,
8.7,7,1.0,2001,400,2.044,
8.7,7,1.0,2001,600,1.922,
8.7,7,1.0,2001,800,1.967,
8.7,7,1.0,2001,1000,1.997,
8.7,7,1.0,2001,1200,2.018,
8.7,7,1.0,2001,1400,2.014,
8.7,7,1.0,2002,200,3.183,
8.7,7,1.0,2002,400,2.972,
8.7,7,1.0,2002,600,2.848,
8.7,7,1.0,2002,800,2.949,
8.7,7,1.0,2002,1000,3.012,
8.7,7,1.0,2002,1200,3.056,
8.7,7,1.0,2002,1400,3.046,
8.7,7,1.0,2003,200,4.07,
8.7,7,1.0,2003,400,3.846,
8.7,7,1.0,2003,600,3.778,
8.7,7,1.0,2003,800,3.946,
8.7,7,1.0,2003,1000,4.045,
8.7,7,1.0,2003,1200,4.115,
8.7,7,1.0,2003,1400,4.096,
8.7,7,1.0,2004,200,5.044,
8.7,7,1.0,2004,400,4.794,
8.7,7,1.0,2004,600,4.745,
8.7,7,1.0,2004,800,4.97,
8.7,7,1.0,2004,1000,5.1,
8.7,7,1.0,2004,1200,5.194,
8.7,7,1.0,2004,1400,5.166,
8.7,7,1.0,2005,200,6.1,
8.7,7,1.0,2005,400,5.812,
8.7,7,1.0,2005,600,5.749,
8.7,7,1.0,2005,800,6.021,
8.7,7,1.0,2005,1000,6.177,
8.7,7,1.0,2005,1200,6.294,
8.7,7,1.0,2005,1400,6.256,
8.7,7,1.0,2006,200,7.232,
8.7,7,1.0,2006,400,6.893,
8.7,7,1.0,2006,600,6.79,
8.7,7,1.0,2006,800,7.099,
8.7,7,1.0,2006,1000,7.275,
8.7,7,1.0,2006,1200,7.414,
8.7,7,1.0,2006,1400,7.367,
8.7,7,1.0,2007,200,8.719,
8.7,7,1.0,2007,400,8.198,
8.7,7,1.0,2007,600,7.878,
8.7,7,1.0,2007,800,8.205,
8.7,7,1.0,2007,1000,8.397,
8.7,7,1.0,2007,1200,8.554,
8.7,7,1.0,2007,1400,8.498,
8.7,7,1.0,2008,200,10.532,
8.7,7,1.0,2008,400,9.71,
8.7,7,1.0,2008,600,9.013,
8.7,7,1.0,2008,800,9.339,
8.7,7,1.0,2008,1000,9.542,
8.7,7,1.0,2008,1200,9.715,
8.7,7,1.0,2008,1400,9.65,
8.7,7,1.0,2009,200,12.65,
8.7,7,1.0,2009,400,11.419,
8.7,7,1.0,2009,600,10.195,
8.7,7,1.0,2009,800,10.502,
8.7,7,1.0,2009,1000,10.709,
8.7,7,1.0,2009,1200,10.896,
8.7,7,1.0,2009,1400,10.824,
8.7,7,1.0,2010,200,14.439,
8.7,7,1.0,2010,400,12.967,
8.7,7,1.0,2010,600,11.405,
8.7,7,1.0,2010,800,11.69,
8.7,7,1.0,2010,1000,11.898,
8.7,7,1.0,2010,1200,12.098,
8.7,7,1.0,2010,1400,12.017,
8.7,7,1.0,2011,200,15.868,
8.7,7,1.0,2011,400,14.274,
8.7,7,1.0,2011,600,12.585,
8.7,7,1.0,2011,800,12.884,
8.7,7,1.0,2011,1000,13.104,
8.7,7,1.0,2011,1200,13.32,
8.7,7,1.0,2011,1400,13.228,
8.7,7,1.0,2012,200,17.221,
8.7,7,1.0,2012,400,15.458,
8.7,7,1.0,2012,600,13.662,
8.7,7,1.0,2012,800,14.036,
8.7,7,1.0,2012,1000,14.301,
8.7,7,1.0,2012,1200,14.559,
8.7,7,1.0,2012,1400,14.451,
8.7,7,1.0,2013,200,18.286,
8.7,7,1.0,2013,400,16.481,
8.7,7,1.0,2013,600,14.737,
8.7,7,1.0,2013,800,15.201,
8.7,7,1.0,2013,1000,15.516,
8.7,7,1.0,2013,1200,15.818,
8.7,7,1.0,2013,1400,15.692,
8.7,7,1.0,2014,200,19.218,
8.7,7,1.0,2014,400,17.429,
8.7,7,1.0,2014,600,15.813,
8.7,7,1.0,2014,800,16.379,
8.7,7,1.0,2014,1000,16.748,
8.7,7,1.0,2014,1200,17.098,
8.7,7,1.0,2014,1400,16.95,
8.7,7,1.0,2015,200,20.224,
8.7,7,1.0,2015,400,18.444,
8.7,7,1.0,2015,600,16.924,
8.7,7,1.0,2015,800,17.585,
8.7,7,1.0,2015,1000,18.002,
8.7,7,1.0,2015,1200,18.398,
8.7,7,1.0,2015,1400,18.229,
8.7,7,1.0,2016,200,21.305,
8.7,7,1.0,2016,400,19.523,
8.7,7,1.0,2016,600,18.071,
8.7,7,1.0,2016,800,18.816,
8.7,7,1.0,2016,1000,19.277,
8.7,7,1.0,2016,1200,19.719,
8.7,7,1.0,2016,1400,19.526,
8.7,7,1.0,2017,200,22.458,
8.7,7,1.0,2017,400,20.664,
8.7,7,1.0,2017,600,19.254,
8.7,7,1.0,2017,800,20.074,
8.7,7,1.0,2017,1000,20.574,
8.7,7,1.0,2017,1200,21.059,
8.7,7,1.0,2017,1400,20.844,
8.7,7,1.0,2018,200,23.965,
8.7,7,1.0,2018,400,22.027,
8.7,7,1.0,2018,600,20.485,
8.7,7,1.0,2018,800,21.361,
8.7,7,1.0,2018,1000,21.894,
8.7,7,1.0,2018,1200,22.421,
8.7,7,1.0,2018,1400,22.182,
8.7,7,1.0,2019,200,25.798,
8.7,7,1.0,2019,400,23.598,
8.7,7,1.0,2019,600,21.763,
8.7,7,1.0,2019,800,22.675,
8.7,7,1.0,2019,1000,23.237,
8.7,7,1.0,2019,1200,23.802,
8.7,7,1.0,2019,1400,23.541,
8.7,7,1.0,2020,200,27.937,
8.7,7,1.0,2020,400,25.367,
8.7,7,1.0,2020,600,23.089,
8.7,7,1.0,2020,800,24.018,
8.7,7,1.0,2020,1000,24.603,
8.7,7,1.0,2020,1200,25.204,
8.7,7,1.0,2020,1400,24.921,
8.7,7,1.0,2021,200,29.742,
8.7,7,1.0,2021,400,26.971,
8.7,7,1.0,2021,600,24.441,
8.7,7,1.0,2021,800,25.386,
8.7,7,1.0,2021,1000,25.99,
8.7,7,1.0,2021,1200,26.627,
8.7,7,1.0,2021,1400,26.321,
8.7,7,1.0,2022,200,31.186,
8.7,7,1.0,2022,400,28.332,
8.7,7,1.0,2022,600,25.76,
8.7,7,1.0,2022,800,26.759,
8.7,7,1.0,2022,1000,27.392,
8.7,7,1.0,2022,1200,28.07,
8.7,7,1.0,2022,1400,27.738,
8.7,7,1.0,2023,200,32.576,
8.7,7,1.0,2023,400,29.578,
8.7,7,1.0,2023,600,26.97,
8.7,7,1.0,2023,800,28.083,
8.7,7,1.0,2023,1000,28.783,
8.7,7,1.0,2023,1200,29.529,
8.7,7,1.0,2023,1400,29.165,
8.7,7,1.0,2024,200,33.661,
8.7,7,1.0,2024,400,30.651,
8.7,7,1.0,2024,600,28.175,
8.7,7,1.0,2024,800,29.419,
8.7,7,1.0,2024,1000,30.191,
8.7,7,1.0,2024,1200,31.008,
8.7,7,1.0,2024,1400,30.61,
8.7,7,1.0,2025,200,34.601,
8.7,7,1.0,2025,400,31.641,
8.7,7,1.0,2025,600,29.377,
8.7,7,1.0,2025,800,30.767,
8.7,7,1.0,2025,1000,31.616,
8.7,7,1.0,2025,1200,32.508,
8.7,7,1.0,2025,1400,32.072,
8.8,8,1.0,2000,200,1.0,
8.8,8,1.0,2000,400,1.0,
8.8,8,1.0,2000,600,1.0,
8.8,8,1.0,2000,800,1.0,
8.8,8,1.0,2000,1000,1.0,
8.8,8,1.0,2000,1200,1.0,
8.8,8,1.0,2000,1400,1.0,
8.8,8,1.0,2001,200,2.716,
8.8,8,1.0,2001,400,2.274,
8.8,8,1.0,2001,600,1.908,
8.8,8,1.0,2001,800,1.977,
8.8,8,1.0,2001,1000,2.004,
8.8,8,1.0,2001,1200,2.022,
8.8,8,1.0,2001,1400,2.018,
8.8,8,1.0,2002,200,3.952,
8.8,8,1.0,2002,400,3.287,
8.8,8,1.0,2002,600,2.815,
8.8,8,1.0,2002,800,2.97,
8.8,8,1.0,2002,1000,3.027,
8.8,8,1.0,2002,1200,3.065,
8.8,8,1.0,2002,1400,3.055,
8.8,8,1.0,2003,200,5.03,
8.8,8,1.0,2003,400,4.216,
8.8,8,1.0,2003,600,3.724,
8.8,8,1.0,2003,800,3.978,
8.8,8,1.0,2003,1000,4.068,
8.8,8,1.0,2003,1200,4.129,
8.8,8,1.0,2003,1400,4.112,
8.8,8,1.0,2004,200,6.187,
8.8,8,1.0,2004,400,5.23,
8.8,8,1.0,2004,600,4.673,
8.8,8,1.0,2004,800,5.011,
8.8,8,1.0,2004,1000,5.13,
8.8,8,1.0,2004,1200,5.214,
8.8,8,1.0,2004,1400,5.19,
8.8,8,1.0,2005,200,7.409,
8.8,8,1.0,2005,400,6.318,
8.8,8,1.0,2005,600,5.661,
8.8,8,1.0,2005,800,6.069,
8.8,8,1.0,2005,1000,6.213,
8.8,8,1.0,2005,1200,6.32,
8.8,8,1.0,2005,1400,6.288,
8.8,8,1.0,2006,200,8.687,
8.8,8,1.0,2006,400,7.473,
8.8,8,1.0,2006,600,6.688,
8.8,8,1.0,2006,800,7.151,
8.8,8,1.0,2006,1000,7.317,
8.8,8,1.0,2006,1200,7.446,
8.8,8,1.0,2006,1400,7.407,
8.8,8,1.0,2007,200,10.477,
8.8,8,1.0,2007,400,8.948,
8.8,8,1.0,2007,600,7.763,
8.8,8,1.0,2007,800,8.259,
8.8,8,1.0,2007,1000,8.444,
8.8,8,1.0,2007,1200,8.592,
8.8,8,1.0,2007,1400,8.548,
8.8,8,1.0,2008,200,12.752,
8.8,8,1.0,2008,400,10.728,
8.8,8,1.0,2008,600,8.885,
8.8,8,1.0,2008,800,9.393,
8.8,8,1.0,2008,1000,9.593,
8.8,8,1.0,2008,1200,9.759,
8.8,8,1.0,2008,1400,9.709,
8.8,8,1.0,2009,200,15.488,
8.8,8,1.0,2009,400,12.802,
8.8,8,1.0,2009,600,10.055,
8.8,8,1.0,2009,800,10.553,
8.8,8,1.0,2009,1000,10.764,
8.8,8,1.0,2009,1200,10.947,
8.8,8,1.0,2009,1400,10.891,
8.8,8,1.0,2010,200,17.575,
8.8,8,1.0,2010,400,14.562,
8.8,8,1.0,2010,600,11.258,
8.8,8,1.0,2010,800,11.737,
8.8,8,1.0,2010,1000,11.956,
8.8,8,1.0,2010,1200,12.155,
8.8,8,1.0,2010,1400,12.094,
8.8,8,1.0,2011,200,19.171,
8.8,8,1.0,2011,400,15.964,
8.8,8,1.0,2011,600,12.424,
8.8,8,1.0,2011,800,12.934,
8.8,8,1.0,2011,1000,13.166,
8.8,8,1.0,2011,1200,13.385,
8.8,8,1.0,2011,1400,13.316,
8.8,8,1.0,2012,200,21.158,
8.8,8,1.0,2012,400,17.433,
8.8,8,1.0,2012,600,13.477,
8.8,8,1.0,2012,800,14.099,
8.8,8,1.0,2012,1000,14.376,
8.8,8,1.0,2012,1200,14.637,
8.8,8,1.0,2012,1400,14.555,
8.8,8,1.0,2013,200,22.494,
8.8,8,1.0,2013,400,18.543,
